Bank Name,Card Name,Cashback,Spend Cap,url,image_url
U.S. Bank,Cash+,0.02,"$2,000/ quarter",https://www.usbank.com/credit-cards/cash-plus-visa-signature-credit-card.html, https://i.ibb.co/TDhgwHbf/photo-cash-plus-signature-wd.png
U.S. Bank (Elan),Max Cash Preferred,0.05,"$2,000/ quarter",https://card.myaccountaccess.com/credit/visa-max-cash-preferred.do, https://www.associatedbank.com/images/max_cash_credit_card.png
Chase,Ink Business Cash,0.05,"$25,000/ year",https://creditcards.chase.com/business-credit-cards/ink/cash, https://i.ibb.co/q3QRM6Tw/ink-cash-card.png
BMO Harris,Cash Back Mastercard,0.05,No Cap,https://www.bmoharris.com/main/personal/credit-cards/bmo-harris-cash-back-mastercard/, https://i.ibb.co/Hw6byFd/bmo-cash-back.png
Huntington,Voice Business,0.04,"$7,000/ quarter",https://www.huntington.com/SmallBusiness/voice-business-credit-card, https://i.ibb.co/whgvRWTq/hungtinton-picture.jpg
Bread (Comenity),Rewards,0.0375,No Cap,https://www.breadfinancial.com/en/bread-rewards-credit-card.html, https://i.ibb.co/spmwpdbS/AAA-card.png
