Bank Name,Card Name,Cashback,Spend Cap,url,image_url
Citi,Custom Cash,0.01,$500/ month,https://www.citi.com/credit-cards/citi-custom-cash-credit-card, https://online.citi.com/CBOL/family/cards/card-art/citi-custom-cash/citi-custom-cash_247x156.png
Bread (Comenity),AAA Daily Advantage,0.05,$500 cashback/ year [B],https://www.aaa.com/AAA/common/bread/breadfinancial.html, https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/8ckn_cshsigcm_v_250x158.png
Synchrony,Verizon Visa,0.04,No Cap,https://www.verizon.com/solutions-and-services/verizon-visa-card/, https://i.ibb.co/3Y7Mxc1Q/veruiszon-wide.png
Huntington,Voice Business,0.04,"$7,000/ quarter",https://www.huntington.com/SmallBusiness/voice-business-credit-card, https://i.ibb.co/whgvRWTq/hungtinton-picture.jpg
Bread (Comenity),Rewards,0.0375,No Cap,https://www.breadfinancial.com/en/bread-rewards-credit-card.html, https://i.ibb.co/spmwpdbS/AAA-card.png
Bank of America,Customized Cash,0.03,"$2,500/ quarter",https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/, https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/8ckn_cshsigcm_v_250x158.png
